"edad","ocupacion","est_civil","nivel_educativo","contrato_meses","Cred_hipotecario","Cred_personal","Medio_contacto","Dia","Mes","duracion_seg","aceptacion_TC"
45,"informal","divorciado","primaria",36,"no","no","chat",5,"junio",1018,"si"
37,"independiente","soltero","bachillerato",62,"si","no","celular",20,"agosto",1740,"no"
38,"independiente","soltero","bachillerato",42,"si","si","celular",29,"agosto",98,"no"
34,"independiente","casado","universitario",40,"si","no","celular",15,"junio",441,"si"
53,"informal","casado","bachillerato",50,"si","no","celular",14,"julio",272,"si"
48,"independiente","casado","bachillerato",49,"si","no","telefono",15,"julio",159,"si"
57,"desempleado","casado","bachillerato",22,"si","si","telefono",4,"febrero",140,"no"
33,"independiente","soltero","universitario",23,"no","no","celular",17,"noviembre",295,"no"
36,"informal","soltero","bachillerato",25,"si","si","chat",26,"mayo",314,"no"
54,"independiente","divorciado","bachillerato",71,"si","si","chat",15,"mayo",579,"no"
41,"informal","casado","primaria",53,"no","si","telefono",8,"julio",554,"si"
63,"informal","casado","bachillerato",41,"si","si","celular",7,"octubre",323,"no"
48,"desempleado","casado","universitario",2,"si","no","celular",13,"agosto",227,"no"
48,"empleado","casado","bachillerato",17,"no","no","celular",4,"julio",134,"si"
56,"independiente","casado","bachillerato",47,"no","no","celular",7,"octubre",223,"si"
51,"informal","divorciado","bachillerato",60,"si","no","celular",8,"mayo",134,"no"
31,"empleado","casado","bachillerato",35,"si","no","celular",28,"enero",155,"si"
29,"independiente","casado","bachillerato",29,"si","si","celular",21,"julio",130,"no"
41,"desempleado","casado","bachillerato",28,"no","si","celular",7,"julio",630,"no"
32,"independiente","soltero","universitario",64,"no","no","celular",19,"noviembre",164,"si"
37,"empleado","casado","universitario",65,"no","no","celular",16,"julio",268,"si"
42,"independiente","divorciado","universitario",19,"si","si","chat",5,"mayo",380,"no"
31,"desempleado","soltero","universitario",46,"si","no","chat",9,"mayo",154,"no"
41,"empleado","casado","universitario",36,"si","si","chat",3,"junio",154,"no"
56,"informal","casado","bachillerato",68,"si","si","chat",15,"mayo",221,"no"
54,"desempleado","divorciado","universitario",58,"si","si","celular",14,"agosto",67,"no"
41,"informal","divorciado","bachillerato",65,"si","si","celular",14,"mayo",367,"no"
40,"independiente","soltero","bachillerato",51,"no","si","celular",14,"agosto",87,"no"
50,"informal","divorciado","primaria",26,"no","no","celular",5,"febrero",701,"si"
40,"desempleado","casado","bachillerato",32,"si","si","celular",17,"noviembre",204,"no"
27,"independiente","divorciado","bachillerato",37,"si","no","celular",16,"julio",652,"si"
60,"informal","casado","primaria",28,"no","si","celular",26,"agosto",63,"no"
28,"independiente","soltero","bachillerato",6,"si","si","celular",6,"mayo",150,"no"
52,"empleado","casado","bachillerato",34,"no","no","telefono",7,"julio",398,"si"
37,"empleado","casado","universitario",19,"no","no","celular",30,"junio",224,"si"
51,"informal","casado","primaria",44,"si","si","chat",7,"mayo",406,"no"
41,"independiente","soltero","bachillerato",6,"si","si","celular",7,"julio",60,"no"
35,"informal","soltero","primaria",24,"si","no","chat",30,"mayo",521,"no"
38,"independiente","casado","bachillerato",19,"si","no","celular",17,"abril",279,"no"
34,"informal","casado","bachillerato",71,"si","no","chat",20,"mayo",203,"si"
39,"informal","casado","primaria",54,"si","no","celular",18,"noviembre",201,"no"
34,"informal","casado","primaria",25,"si","no","chat",20,"junio",372,"no"
27,"empleado","soltero","bachillerato",29,"si","no","celular",18,"mayo",391,"si"
32,"desempleado","soltero","universitario",34,"si","si","celular",14,"agosto",165,"no"
57,"informal","casado","bachillerato",23,"si","no","celular",11,"agosto",231,"no"
41,"empleado","soltero","universitario",17,"si","si","celular",1,"julio",291,"no"
41,"independiente","casado","universitario",28,"si","no","chat",14,"mayo",149,"si"
30,"independiente","soltero","universitario",47,"no","si","celular",19,"octubre",233,"no"
36,"informal","divorciado","bachillerato",24,"si","si","celular",12,"febrero",473,"no"
31,"empleado","soltero","primaria",63,"no","no","celular",4,"febrero",736,"si"
36,"informal","casado","bachillerato",66,"si","si","chat",6,"mayo",337,"no"
38,"desempleado","soltero","universitario",25,"si","si","celular",11,"mayo",553,"no"
49,"independiente","casado","bachillerato",20,"no","si","telefono",21,"noviembre",345,"no"
57,"empleado","soltero","primaria",47,"si","no","telefono",13,"mayo",65,"no"
34,"desempleado","soltero","bachillerato",48,"si","si","chat",13,"agosto",9,"no"
32,"desempleado","soltero","universitario",18,"si","si","celular",14,"abril",259,"no"
37,"informal","casado","bachillerato",2,"si","si","chat",9,"junio",371,"no"
33,"independiente","casado","universitario",43,"si","si","celular",3,"febrero",280,"no"
56,"empleado","casado","primaria",53,"no","no","celular",21,"abril",243,"si"
27,"ama(o)_de_casa","casado","primaria",18,"si","no","celular",23,"julio",435,"no"
21,"estudiante","soltero","bachillerato",41,"no","no","celular",30,"junio",258,"si"
58,"desempleado","casado","universitario",47,"si","si","telefono",29,"julio",7,"no"
32,"independiente","casado","bachillerato",39,"si","si","celular",15,"julio",317,"no"
33,"informal","soltero","bachillerato",27,"no","no","celular",30,"enero",76,"si"
25,"estudiante","soltero","bachillerato",62,"no","no","telefono",26,"agosto",170,"si"
25,"independiente","soltero","bachillerato",39,"no","si","celular",17,"noviembre",386,"si"
30,"empleado","casado","bachillerato",42,"si","no","celular",18,"mayo",83,"no"
22,"independiente","soltero","bachillerato",52,"si","si","celular",19,"agosto",65,"no"
39,"informal","casado","primaria",19,"no","no","celular",13,"agosto",69,"no"
46,"desempleado","divorciado","universitario",64,"no","no","chat",17,"junio",564,"no"
31,"independiente","divorciado","bachillerato",52,"si","si","celular",21,"julio",588,"no"
45,"informal","casado","primaria",20,"si","si","celular",18,"agosto",113,"no"
32,"independiente","casado","bachillerato",60,"si","si","chat",21,"mayo",16,"no"
36,"informal","casado","bachillerato",38,"si","si","celular",15,"julio",779,"no"
51,"desempleado","soltero","universitario",48,"si","no","celular",11,"mayo",281,"no"
34,"independiente","soltero","universitario",66,"no","no","celular",21,"agosto",1877,"si"
24,"desempleado","soltero","bachillerato",69,"si","si","chat",15,"septiembre",51,"no"
45,"independiente","soltero","bachillerato",15,"no","si","celular",28,"julio",32,"no"
32,"informal","soltero","bachillerato",46,"si","si","telefono",5,"febrero",176,"no"
77,"pensionado","divorciado","universitario",1,"no","no","celular",14,"abril",161,"si"
41,"informal","casado","primaria",15,"si","no","celular",18,"noviembre",187,"si"
37,"informal","casado","primaria",10,"si","si","chat",26,"mayo",24,"no"
43,"informal","casado","tecnico",27,"si","no","chat",30,"mayo",67,"no"
48,"independiente","casado","tecnico",12,"si","si","celular",8,"mayo",85,"no"
27,"independiente","soltero","bachillerato",29,"si","si","chat",9,"mayo",317,"no"
33,"desempleado","soltero","universitario",43,"no","si","celular",28,"agosto",236,"no"
29,"independiente","soltero","bachillerato",52,"si","si","celular",7,"mayo",54,"no"
34,"desempleado","soltero","universitario",30,"si","si","celular",5,"febrero",71,"no"
52,"empleado","casado","universitario",67,"si","no","celular",4,"febrero",489,"si"
60,"desempleado","casado","tecnico",28,"no","no","chat",19,"junio",39,"no"
32,"empleado","divorciado","universitario",54,"no","no","celular",12,"agosto",204,"si"
32,"desempleado","soltero","universitario",70,"si","si","celular",22,"julio",455,"no"
56,"empleado","divorciado","tecnico",68,"si","si","chat",30,"mayo",86,"no"
31,"desempleado","soltero","universitario",54,"si","no","celular",18,"noviembre",190,"no"
42,"independiente","casado","bachillerato",49,"si","si","chat",8,"mayo",280,"no"
35,"desempleado","casado","universitario",71,"si","si","celular",11,"agosto",588,"no"
56,"informal","casado","primaria",40,"si","si","chat",19,"junio",45,"no"
48,"independiente","casado","bachillerato",69,"si","no","celular",21,"julio",168,"si"
46,"independiente","casado","bachillerato",17,"si","no","celular",29,"enero",194,"no"
37,"independiente","soltero","tecnico",22,"si","no","chat",8,"mayo",103,"si"
41,"independiente","casado","tecnico",23,"si","no","chat",6,"mayo",333,"no"
36,"desempleado","soltero","universitario",34,"si","si","celular",29,"julio",102,"no"
45,"desempleado","divorciado","primaria",27,"si","si","chat",1,"julio",92,"no"
55,"independiente","casado","bachillerato",33,"no","si","celular",6,"febrero",213,"no"
39,"independiente","casado","bachillerato",51,"si","si","chat",26,"mayo",289,"no"
35,"independiente","divorciado","bachillerato",16,"no","no","celular",22,"agosto",77,"si"
55,"independiente","casado","bachillerato",69,"no","no","celular",1,"junio",324,"si"
55,"independiente","casado","bachillerato",46,"si","si","celular",29,"enero",84,"no"
27,"independiente","soltero","bachillerato",72,"si","si","celular",29,"enero",168,"no"
34,"independiente","casado","bachillerato",42,"si","si","celular",17,"abril",380,"no"
34,"informal","casado","universitario",66,"no","si","chat",4,"octubre",10,"no"
25,"independiente","soltero","bachillerato",22,"si","no","chat",28,"mayo",199,"no"
41,"independiente","soltero","bachillerato",48,"si","si","chat",9,"mayo",35,"no"
43,"empleado","casado","bachillerato",28,"si","si","chat",26,"mayo",82,"no"
28,"empleado","soltero","universitario",15,"no","no","celular",20,"octubre",676,"si"
31,"independiente","soltero","bachillerato",23,"si","si","chat",3,"junio",455,"no"
78,"ama(o)_de_casa","casado","bachillerato",19,"si","si","telefono",16,"marzo",80,"no"
45,"informal","divorciado","bachillerato",36,"si","si","celular",29,"enero",549,"no"
48,"independiente","casado","universitario",28,"no","no","chat",6,"mayo",135,"si"
32,"informal","soltero","bachillerato",68,"si","si","celular",10,"julio",412,"no"
42,"independiente","casado","bachillerato",4,"no","si","chat",20,"junio",101,"no"
37,"desempleado","soltero","universitario",19,"si","si","celular",28,"enero",253,"no"
40,"independiente","soltero","bachillerato",56,"si","si","celular",6,"abril",272,"no"
32,"independiente","casado","bachillerato",48,"si","si","celular",17,"julio",84,"no"
42,"desempleado","casado","universitario",68,"si","si","celular",20,"noviembre",135,"no"
43,"independiente","casado","bachillerato",10,"si","si","celular",23,"julio",166,"no"
44,"independiente","casado","bachillerato",33,"si","si","celular",31,"julio",18,"si"
37,"independiente","casado","bachillerato",66,"si","no","celular",5,"mayo",147,"no"
37,"empleado","casado","tecnico",45,"no","si","chat",9,"junio",63,"no"
37,"independiente","casado","universitario",46,"si","si","celular",17,"noviembre",65,"no"
28,"independiente","soltero","universitario",26,"si","si","celular",2,"febrero",194,"no"
32,"empleado","soltero","bachillerato",57,"no","si","celular",11,"julio",333,"no"
34,"independiente","soltero","bachillerato",59,"si","si","celular",15,"mayo",14,"no"
40,"independiente","divorciado","bachillerato",34,"si","si","chat",11,"junio",140,"no"
34,"empleado","casado","bachillerato",13,"si","si","chat",16,"junio",109,"no"
34,"independiente","casado","universitario",53,"si","no","celular",23,"julio",61,"no"
34,"independiente","casado","universitario",19,"si","si","telefono",19,"noviembre",377,"no"
37,"empleado","soltero","bachillerato",26,"si","no","celular",2,"febrero",96,"si"
36,"independiente","casado","bachillerato",3,"si","si","celular",8,"mayo",152,"no"
56,"pensionado","casado","bachillerato",30,"si","no","celular",15,"junio",382,"si"
49,"informal","casado","primaria",1,"si","si","telefono",23,"julio",97,"no"
33,"independiente","casado","bachillerato",62,"si","si","celular",29,"julio",543,"no"
30,"desempleado","soltero","universitario",58,"si","si","celular",20,"noviembre",240,"no"
36,"empleado","casado","bachillerato",5,"si","no","chat",17,"junio",48,"no"
23,"estudiante","soltero","bachillerato",6,"no","no","celular",5,"junio",471,"no"
57,"informal","divorciado","bachillerato",60,"si","si","celular",30,"julio",354,"no"
27,"informal","soltero","bachillerato",64,"si","si","chat",30,"mayo",435,"no"
38,"empleado","casado","bachillerato",41,"si","si","celular",21,"noviembre",152,"no"
42,"independiente","casado","universitario",19,"si","si","celular",3,"abril",285,"no"
75,"pensionado","casado","bachillerato",22,"no","no","telefono",15,"abril",185,"si"
34,"independiente","soltero","universitario",36,"si","no","celular",4,"mayo",301,"si"
48,"independiente","casado","bachillerato",57,"no","no","celular",6,"agosto",273,"si"
35,"independiente","soltero","universitario",67,"si","no","celular",19,"agosto",768,"si"
39,"desempleado","divorciado","universitario",59,"si","si","celular",19,"noviembre",1337,"no"
29,"informal","soltero","universitario",12,"no","no","telefono",21,"abril",403,"si"
45,"independiente","soltero","universitario",38,"si","si","celular",18,"noviembre",139,"no"
42,"independiente","casado","bachillerato",70,"si","si","celular",9,"julio",196,"no"
29,"independiente","casado","bachillerato",8,"si","si","celular",8,"julio",115,"no"
38,"empleado","soltero","bachillerato",37,"si","no","celular",2,"febrero",60,"no"
56,"informal","casado","bachillerato",54,"si","si","celular",28,"agosto",17,"no"
36,"independiente","soltero","bachillerato",71,"si","si","celular",13,"agosto",141,"no"
25,"informal","soltero","bachillerato",63,"si","no","chat",23,"junio",95,"si"
38,"independiente","casado","universitario",5,"si","no","celular",15,"mayo",10,"no"
57,"independiente","casado","bachillerato",43,"si","no","celular",19,"noviembre",198,"no"
31,"empleado","casado","universitario",46,"no","no","celular",12,"agosto",220,"si"
42,"empleado","casado","universitario",1,"si","no","celular",3,"agosto",654,"si"
45,"independiente","casado","bachillerato",47,"si","si","celular",11,"agosto",71,"no"
30,"informal","casado","bachillerato",66,"si","no","celular",13,"mayo",256,"si"
49,"informal","casado","primaria",21,"si","si","telefono",10,"julio",834,"no"
49,"empleado","casado","bachillerato",4,"si","si","celular",21,"agosto",151,"no"
53,"informal","casado","universitario",53,"si","si","celular",31,"julio",20,"no"
37,"independiente","casado","bachillerato",14,"si","no","chat",26,"mayo",178,"si"
49,"informal","casado","primaria",59,"si","si","chat",26,"mayo",59,"no"
41,"independiente","casado","primaria",21,"no","si","celular",13,"agosto",111,"no"
54,"desempleado","casado","primaria",66,"si","si","celular",20,"noviembre",186,"no"
32,"empleado","soltero","bachillerato",2,"si","no","chat",6,"mayo",227,"no"
33,"independiente","casado","bachillerato",15,"no","si","celular",15,"mayo",297,"no"
33,"independiente","casado","bachillerato",34,"si","si","celular",20,"abril",210,"no"
36,"informal","casado","primaria",27,"si","si","celular",18,"mayo",9,"no"
35,"independiente","casado","universitario",37,"si","si","celular",23,"septiembre",112,"no"
52,"empleado","casado","bachillerato",1,"no","si","celular",25,"agosto",112,"no"
40,"independiente","casado","universitario",68,"no","no","chat",9,"junio",222,"no"
44,"independiente","soltero","bachillerato",46,"si","si","celular",13,"mayo",195,"no"
45,"informal","soltero","bachillerato",64,"si","no","celular",26,"julio",768,"si"
30,"estudiante","soltero","bachillerato",11,"no","no","celular",26,"enero",123,"si"
48,"independiente","divorciado","bachillerato",70,"no","si","celular",27,"agosto",145,"no"
33,"informal","casado","bachillerato",19,"si","si","celular",2,"abril",124,"no"
57,"independiente","casado","tecnico",38,"si","si","chat",5,"mayo",216,"no"
57,"ama(o)_de_casa","casado","primaria",30,"si","si","chat",6,"junio",69,"no"
51,"desempleado","casado","universitario",39,"si","si","celular",22,"julio",168,"no"
34,"independiente","soltero","bachillerato",67,"si","si","celular",22,"julio",483,"no"
50,"independiente","casado","universitario",24,"si","si","celular",19,"noviembre",690,"no"
44,"empleado","casado","universitario",39,"no","no","celular",28,"agosto",125,"si"
27,"independiente","casado","bachillerato",27,"si","si","chat",4,"junio",344,"no"
50,"informal","casado","bachillerato",40,"si","si","chat",14,"mayo",673,"no"
36,"desempleado","casado","universitario",28,"si","si","celular",28,"enero",60,"no"
42,"desempleado","casado","bachillerato",32,"si","si","chat",12,"mayo",247,"no"
32,"desempleado","soltero","bachillerato",9,"no","si","celular",27,"mayo",123,"no"
42,"empleado","casado","universitario",15,"si","no","celular",11,"julio",144,"si"
43,"independiente","casado","bachillerato",23,"si","si","celular",8,"mayo",9,"no"
31,"desempleado","casado","universitario",50,"si","si","celular",9,"febrero",155,"no"
32,"desempleado","casado","universitario",58,"no","si","celular",14,"agosto",134,"no"
55,"informal","divorciado","primaria",63,"si","si","celular",11,"julio",221,"no"
58,"informal","casado","primaria",44,"si","si","celular",3,"febrero",84,"no"
46,"informal","casado","primaria",28,"no","no","celular",8,"agosto",71,"no"
55,"informal","casado","bachillerato",54,"si","si","chat",23,"mayo",246,"no"
34,"desempleado","casado","universitario",45,"no","si","celular",23,"julio",361,"no"
28,"desempleado","soltero","bachillerato",59,"no","si","celular",12,"agosto",119,"no"
42,"independiente","divorciado","universitario",3,"si","si","celular",29,"julio",375,"no"
29,"informal","soltero","bachillerato",1,"no","si","celular",10,"julio",1097,"si"
54,"ama(o)_de_casa","casado","bachillerato",24,"si","si","celular",25,"julio",97,"no"
32,"independiente","soltero","bachillerato",44,"si","no","celular",26,"agosto",181,"no"
39,"independiente","soltero","universitario",7,"no","si","celular",2,"febrero",83,"no"
53,"independiente","casado","universitario",63,"si","si","celular",21,"julio",180,"no"
58,"independiente","casado","universitario",36,"no","no","celular",18,"agosto",543,"no"
40,"independiente","casado","bachillerato",6,"si","si","chat",23,"mayo",373,"no"
29,"estudiante","soltero","bachillerato",12,"si","si","chat",7,"mayo",230,"no"
33,"independiente","casado","universitario",61,"si","si","celular",15,"julio",83,"no"
38,"independiente","soltero","bachillerato",59,"si","si","telefono",31,"julio",58,"no"
56,"empleado","divorciado","bachillerato",15,"no","no","celular",29,"julio",88,"no"
40,"empleado","casado","bachillerato",29,"si","no","celular",2,"junio",297,"no"
24,"informal","soltero","bachillerato",63,"si","si","celular",18,"mayo",487,"si"
46,"desempleado","casado","bachillerato",8,"si","si","chat",20,"junio",29,"no"
35,"independiente","casado","bachillerato",22,"si","si","celular",21,"noviembre",484,"no"
35,"informal","soltero","universitario",27,"si","si","celular",21,"julio",262,"no"
34,"independiente","casado","bachillerato",43,"si","si","chat",15,"mayo",644,"no"
35,"ama(o)_de_casa","casado","universitario",55,"no","no","celular",12,"agosto",699,"no"
38,"independiente","soltero","universitario",13,"si","si","celular",28,"agosto",247,"no"
50,"informal","casado","primaria",50,"no","si","celular",18,"noviembre",49,"no"
51,"informal","divorciado","primaria",39,"si","si","celular",13,"mayo",341,"no"
59,"independiente","casado","universitario",19,"si","si","chat",13,"mayo",64,"no"
32,"informal","casado","bachillerato",53,"si","si","celular",20,"abril",121,"no"
37,"informal","soltero","bachillerato",72,"si","si","chat",2,"junio",98,"no"
42,"independiente","divorciado","bachillerato",62,"si","no","chat",16,"mayo",88,"no"
40,"estudiante","casado","bachillerato",27,"no","no","chat",20,"junio",197,"si"
28,"independiente","soltero","universitario",55,"si","si","chat",9,"mayo",331,"no"
47,"independiente","casado","bachillerato",15,"si","no","chat",6,"junio",83,"no"
27,"independiente","casado","bachillerato",33,"si","si","chat",26,"mayo",138,"no"
41,"desempleado","casado","universitario",67,"si","no","celular",17,"julio",312,"no"
34,"independiente","casado","universitario",43,"no","si","celular",4,"agosto",120,"si"
50,"informal","casado","primaria",67,"si","no","celular",7,"agosto",526,"si"
47,"informal","casado","bachillerato",43,"si","si","chat",28,"mayo",211,"no"
53,"empleado","casado","bachillerato",18,"no","no","celular",18,"agosto",62,"no"
53,"independiente","divorciado","bachillerato",48,"si","si","celular",15,"julio",135,"no"
47,"desempleado","casado","universitario",53,"no","si","celular",14,"agosto",101,"no"
49,"independiente","divorciado","tecnico",69,"si","no","celular",30,"julio",988,"si"
29,"desempleado","casado","universitario",31,"no","si","celular",28,"enero",451,"no"
45,"informal","divorciado","primaria",18,"si","no","chat",23,"mayo",1030,"si"
38,"independiente","casado","bachillerato",34,"si","si","celular",24,"julio",1484,"si"
32,"informal","casado","bachillerato",59,"si","no","celular",9,"abril",317,"si"
70,"informal","divorciado","primaria",3,"no","no","celular",18,"mayo",445,"no"
65,"informal","divorciado","primaria",51,"si","si","celular",1,"junio",383,"no"
56,"informal","casado","bachillerato",59,"si","no","telefono",22,"julio",605,"si"
35,"informal","casado","bachillerato",68,"si","si","celular",14,"julio",330,"no"
56,"desempleado","casado","tecnico",58,"si","si","celular",25,"julio",171,"no"
56,"independiente","casado","bachillerato",36,"no","si","celular",23,"julio",442,"no"
49,"independiente","casado","bachillerato",52,"si","no","celular",17,"abril",772,"si"
38,"desempleado","casado","primaria",42,"si","si","chat",8,"mayo",249,"no"
35,"desempleado","casado","universitario",57,"si","si","chat",9,"mayo",357,"no"
38,"independiente","casado","universitario",72,"si","no","celular",18,"noviembre",147,"no"
49,"informal","casado","bachillerato",46,"si","si","celular",6,"mayo",199,"no"
55,"desempleado","casado","tecnico",50,"no","si","celular",28,"enero",271,"no"
43,"informal","soltero","primaria",66,"si","si","celular",30,"julio",783,"no"
43,"desempleado","casado","universitario",18,"si","si","celular",20,"agosto",472,"no"
25,"independiente","soltero","universitario",64,"si","no","celular",27,"mayo",223,"si"
30,"informal","casado","primaria",44,"si","si","chat",21,"mayo",395,"no"
46,"informal","casado","bachillerato",20,"no","si","celular",4,"febrero",56,"no"
50,"independiente","casado","primaria",44,"si","si","chat",17,"junio",641,"no"
35,"independiente","casado","bachillerato",70,"no","no","celular",4,"mayo",429,"si"
26,"desempleado","soltero","bachillerato",32,"no","si","chat",31,"mayo",113,"no"
45,"independiente","casado","tecnico",36,"no","si","chat",20,"junio",11,"no"
37,"informal","casado","bachillerato",13,"no","si","celular",2,"febrero",157,"no"
60,"independiente","soltero","universitario",31,"si","si","celular",29,"julio",79,"no"
38,"empleado","casado","universitario",62,"no","no","celular",4,"agosto",178,"si"
47,"informal","casado","primaria",48,"si","si","chat",9,"junio",168,"no"
33,"independiente","casado","bachillerato",37,"no","si","celular",9,"noviembre",425,"no"
51,"desempleado","casado","bachillerato",23,"no","si","celular",19,"noviembre",162,"no"
35,"independiente","soltero","universitario",72,"si","no","celular",18,"julio",799,"si"
35,"empleado","casado","bachillerato",21,"no","no","celular",29,"diciembre",1370,"si"
48,"independiente","soltero","bachillerato",29,"si","no","chat",28,"mayo",357,"no"
37,"independiente","casado","bachillerato",22,"no","no","celular",22,"julio",22,"si"
29,"independiente","soltero","universitario",43,"si","si","celular",16,"abril",215,"no"
34,"independiente","casado","bachillerato",22,"si","no","celular",31,"julio",56,"si"
32,"empleado","casado","primaria",69,"si","no","celular",21,"julio",1017,"si"
30,"empleado","soltero","universitario",33,"no","no","celular",16,"abril",298,"si"
47,"desempleado","divorciado","universitario",70,"si","si","chat",7,"mayo",126,"no"
33,"informal","casado","primaria",12,"no","no","chat",20,"septiembre",9,"si"
33,"desempleado","soltero","universitario",16,"si","si","celular",5,"febrero",8,"no"
63,"informal","casado","primaria",22,"no","no","celular",14,"octubre",201,"no"
51,"independiente","divorciado","primaria",57,"si","no","celular",6,"mayo",106,"no"
41,"desempleado","casado","universitario",36,"si","si","celular",21,"noviembre",164,"no"
56,"informal","casado","universitario",27,"no","si","celular",5,"febrero",97,"no"
60,"desempleado","soltero","universitario",51,"no","si","celular",23,"julio",151,"no"
41,"independiente","soltero","universitario",13,"si","no","chat",30,"mayo",96,"si"
37,"desempleado","soltero","tecnico",4,"si","si","celular",16,"abril",555,"no"
36,"informal","soltero","bachillerato",70,"si","si","celular",11,"mayo",270,"no"
57,"desempleado","casado","universitario",1,"si","si","celular",29,"julio",339,"no"
55,"empleado","casado","primaria",60,"no","no","celular",4,"septiembre",328,"si"
44,"independiente","casado","bachillerato",65,"si","si","chat",16,"mayo",159,"no"
47,"independiente","casado","universitario",71,"si","no","celular",6,"mayo",323,"no"
31,"informal","casado","bachillerato",53,"si","no","celular",20,"abril",342,"no"
35,"empleado","casado","universitario",12,"si","no","celular",21,"noviembre",180,"si"
39,"desempleado","casado","universitario",13,"si","si","celular",28,"julio",60,"no"
50,"desempleado","casado","universitario",61,"si","no","celular",17,"noviembre",223,"no"
29,"desempleado","casado","universitario",69,"si","si","celular",18,"mayo",1434,"no"
30,"empleado","soltero","bachillerato",14,"si","si","chat",6,"mayo",30,"no"
46,"empleado","casado","bachillerato",33,"si","si","chat",16,"mayo",134,"no"
27,"desempleado","soltero","tecnico",5,"si","si","celular",9,"febrero",10,"no"
48,"independiente","divorciado","bachillerato",69,"no","no","celular",2,"abril",397,"si"
26,"estudiante","soltero","bachillerato",45,"si","no","celular",5,"mayo",620,"no"
